"Bumble Bee Snow's Minced Clams in Clam Juice, 6.5 oz Can",/ip/Bumble-Bee-Snow-s-Minced-Clams-in-Clam-Juice-6-5-oz-Can/10294374
"Campbell's SpaghettiOs Canned Pasta A to Z Shapes with Meatballs, 15.6 Oz. Can",/ip/Campbell-s-SpaghettiOs-Canned-Pasta-A-to-Z-Shapes-with-Meatballs-15-6-Oz-Can/198332351
"Dole Mango Slices in Heavy Syrup, 15.5 oz. Canned Fruit",/ip/Dole-Mango-Slices-in-Heavy-Syrup-15-5-oz-Canned-Fruit/27441061
"Dole Fruit Bowls No Sugar Added Pineapple Tidbits in 100% Fruit Juice, 4 Oz Fruit Bowls, 4 Cups of Fruit",/ip/Dole-Fruit-Bowls-No-Sugar-Added-Pineapple-Tidbits-in-100-Fruit-Juice-4-Oz-Fruit-Bowls-4-Cups-of-Fruit/40618021
"Dole Yellow Cling Sliced Peaches in 100% Fruit Juice, Jarred Peaches, 23.5 Oz",/ip/Dole-Yellow-Cling-Sliced-Peaches-in-100-Fruit-Juice-Jarred-Peaches-23-5-Oz/10304407
"Campbell's SpaghettiOs Canned Pasta with Meatballs, 22.2 oz. Can",/ip/Campbell-s-SpaghettiOs-Canned-Pasta-with-Meatballs-22-2-oz-Can/37700404
"Bruce's Yams Cut Sweet Potatoes in Syrup, 40 oz.",/ip/Bruce-s-Yams-Cut-Sweet-Potatoes-in-Syrup-40-oz/10290902
"Hormel Premium Canned Chunk Chicken Breast in Water, 10 Ounce (Pack of 2)",/ip/Hormel-Premium-Canned-Chunk-Chicken-Breast-in-Water-10-Ounce-Pack-of-2/36073558
"Season Imported Sardines in Pure Olive Oil Skinless & Boneless Salt Added, 4.375 OZ",/ip/Season-Imported-Sardines-in-Pure-Olive-Oil-Skinless-Boneless-Salt-Added-4-375-OZ/39844754
"Hanover Blue Lake Cut Green Beans, 38 oz",/ip/Hanover-Blue-Lake-Cut-Green-Beans-38-oz/32174480
"Valley Fresh Organic Canned Chicken Breast with Rib Meat in Water, 5 Ounce",/ip/Valley-Fresh-Organic-Canned-Chicken-Breast-with-Rib-Meat-in-Water-5-Ounce/10309223
"Armour Hearty Homestyle Corned Beef Hash 14 oz",/ip/Armour-Hearty-Homestyle-Corned-Beef-Hash-14-oz/51091465
"BUMBLE BEE Solid White Albacore Tuna In Vegetable Oil, 12 Ounce Can, High Protein Food and Snacks",/ip/BUMBLE-BEE-Solid-White-Albacore-Tuna-In-Vegetable-Oil-12-Ounce-Can-High-Protein-Food-and-Snacks/22027029
"Great Value Fully Cooked Roast Beef, 12 oz",/ip/Great-Value-Fully-Cooked-Roast-Beef-12-oz/40975805
"Bumble Bee Prime Fillet Tonno in Olive Oil, Canned Tuna Fish, 5oz Can",/ip/Bumble-Bee-Prime-Fillet-Tonno-in-Olive-Oil-Canned-Tuna-Fish-5oz-Can/21269472
"Valley Fresh 100% Natural White and Dark Canned Chicken in Broth, 10 Ounce",/ip/Valley-Fresh-100-Natural-White-and-Dark-Canned-Chicken-in-Broth-10-Ounce/10309221
